'n	a, an.
meestendeels	for the greater (the most) part; in the majority of cases.
meester	master; teacher.
meesteragtig	imperious; pedantic.
meesterlik	excellent, masterly.
meesterstuk	masterpiece.
meet	n. starting-line, starting-point.; measure, gauge.
meetkunde	geometry.
meeu	(sea-)gull, sea-mew.
meewarig	compassionate.
meewerk	co-operate, collaborate, assist; contribute towards.
meganies	mechanical.
Mei	May.
meiblom	May-flower.
meidoring	hawthorn, May-bush.
meineed	perjury.
meisie	girl.
mejuffrou	Madam (address without name), Miss (address with name).
mekaar	each other, one another.
Mekka	Mecca.
melaats	leprous.
melaatse	leper.
melaatsheid	leprosy.
melancholies	melancholy, depressed.
melasse	molasses.
meld	(ge-), announce, inform, mention, report, state.
meldenswaardig	worth mentioning.
melding	mention.
melerig	mealy, floury.
melk	n. milk.; milk.
melk afgee	lactate (v)
melkbaard	down, soft beard.
melkery	milking; dairy-farming; dairy (-farm).
melkkos	milk-food, spoon-meat.
melksuursout	lactate (n)
melkwit	milky white, as white as milk.
melodieus	melodious, tuneful.
melodrama	melodrama.
memorie	document; petition.
memoriseer	memorize.
meneer	gentleman; Mr (in address with name), Sir (in address without name); master; mister.
meng	alloy (metals); blend (colours); mix (drinks); mingle (with people); adulterate, dilute.
mengelmoes	hodge-podge (hotch-potch), jumble, medley, mixture.
mengsel	blend; mixture.
menige	many, several.
menigeen	many a one.
menigmaal	frequently, often.
menigte	crowd, multitude.
menigvuldig	abundant, manifold.
mening	idea, opinion, view; intention.; judgement; idea; opinion; view
mens	n. human being, man, person; (pl.) men, people; visitors.; pron. indef. one, you.
mensdom	mankind, humanity.
mensehater	misanthrope.
mensliewend	humane, philanthropic.
menslik	human.
menslikerwys	- gesproke, humanly speaking.
menslikheid	humanity; human nature.
mensvreter	man-eater, cannibal.
menuet	minuet.
merendeel	greater part, majority.
merendeels	for the greater (the most) part, mostly.
merg	marrow.
meridiaan	meridian.
meriete	merits.
merk	n. mark; brand (of articles), quality, sort; trademark; sign.; (ge-) mark; notice, perceive, see.
merkbaar	appreciable, noticeable, marked, perceptible.
merkteken	mark, scar, sign, token.
merkwaardig	noteworthy, remarkable.
merrie	mare.
mes	knife.
Mesopotamië	Mesopotamia.
messegoed	cutlery.
messel	build, lay bricks.
messelaar	bricklayer, mason.
Messias	Messiah.
messtof	fertilizer, manure.
met	with.
metaal	metal.
metaalkunde	metallurgy.
metafoor	metaphor.
metamorfose	metamorphosis.
metdat	at the moment that.
meteen	at the same time.
meteens	(all) at once, suddenly, immediately.
meteoor	meteor.
meteoriet	meteorite.
meteoroloog	meteorologist.
meter	measurer, gauger; meter (of gas); metre (unit of length).
metgesel	companion, mate.
metode	method, plan, manner.
metodiek	method.
metodies	methodical.
Metodis	Methodist.
metonimie	metonymy.
metropolis	metropool, (-ole), capital (city), metropolis.
metropolitaans	metropolitan.
metrum	metre.
mette	matins; kort - maak met, make short work of.
mettertyd	in course of time, in due course, as time went on.
metterwoon	jou êrens - vestig, establish oneself (settle) somewhere.
meubel	article (piece) of furniture; (pl.) furniture.
meubelmaker	cabinet-maker, joiner.
meubelstuk	vide meubel.
meubileer	fit up, furnish.
meublement	furniture.
meul	meule, (-ns), mill; (game of) noughts and crosses.
meulenaar	miller.
Midde-Afrika	Central Africa.
middel	means; method; medium; instrument; agent; middle; centre; waist; remedy
middelaar	mediator
middelbaar	average, intermediate, mean, medium, middle; secondary (school).
middeldeur	across, asunder, in half, in two.
middeleeue	middle ages.
middelerwyl	meanwhile.
Middellandse	- See, Mediteranean (Sea).
middellyf	middle; waist
middellyn	axis, centre-line, diameter.
middelmannetjie	ridge (in road).
middelmatig	middling, moderate, indifferent, mediocre, so-so.
middelpunt	centre, central point; hub, pivot.
middelrif	diaphragm, midriK middelslag, -soort, middling sort, medium, middlings.
middernag	midnight.
middeweg	middle course; mean; midway.
mied	heap, pile, (hay)stack.
mielie	maize, mealie.
mier	ant; -e he, be fidgety, fidget.
mierhoop	vide miershoop.
mierkat	vide meerkat.
miershoop	ant-hill.
miet	n. vide mied.; n. mite; tuberworm.
mik	n. fork, forked post; forked stick (for catapult).; aim.
mika	mica.
mikpunt	aim; butt, target.
mikrofoon	microphone.
mikroob	mikrobe, (-s), microbe.
mikroskoop	microscope.
mikstok	forked stick.
mikstuur	mixture.
Milaan	Milan.
mild	free-handed, generous, liberal; soft (rain).
milddadig	generous, libera1.
mildelik	a. & adv. lavish(ly).
milieu	milieu, environment.
militêr	a. military.
miljoen	million.
miljoenêr	millionaire.
milligram	milligram.
millimeter	millimetre.
milt	milt, spleen.
mimiek	mimic art, mimicry.
min	n. love.; a. & adv. few, little; less, minus.
minag	disregard, disdain, despise.
minagting	contempt, disdain.
minder	a. & adv. fewer, less; inferior, lower.
mindere	inferior.
minderheid	minority; inferiority.
minderjarig	under age.
minderwaardig	inferior.
mineraal	mineral.
miniatuur	miniature.
minikopter	minicopter.
minimaal	minimal.
minister	minister.
ministerie	cabinet, ministry.
minlik	amicable, friendly.
minnaar	lover.
minne	in der - skik, settle amicably.
minnebrief	love-letter.
minsaam	affable, gracious, kind.
minste	fewest, least, slightest, smallest.
minstens	at least, at the least.
mintig!	gracious!, goodness!
minuut	minute.
mirakelspel	miracle-play.
mirre	myrrh.
mis	n. mass.; n, fog, mist.; n. dung, manure.; a. & adv. amiss, wrong.; miss (the train); lose (the boat); spare, do without (money).
misbruik	n. abuse, misuse; breach, betrayal (of trust).; abuse, misuse.
misdaad	crime, oftence.
misdadiger	criminal, evildoer.
misdeeld	(-de), destitute, poor.
misdra	misbehave.
misdryf	n. offence, crime.
miserabel	miserable, rotten, wretched.
misgis	jou -, make a mistake.
misgun	(be)grudge, envy.
mishae	n. displeasure, annoyance.
mishandel	ill-treat, maltreat.
miskenning	want of appreciation.
miskien	perhaps.
miskruier	dung-roller, tumble-bug.
mislei	deceive, mislead.
mislik	beastly, disgusting; bilious.
misluk	come to naught, fail, miscarry; fall through; break down.
mismaak	deform, disfigure.
mismoedig	discouraged, dejected.
misnoeë	displeasure, dissatisfaction.
misnoeg	displeased, dissatisfied.
misoes	failure of crops; failure; wash-out.
mispel	medlar.
misreken	make a mistake.
misstap	false step, misstep.
mistig	foggy, misty.
mistroostig	dejected.
mistrouig	distrustful, suspicious.
misverstaan	misunderstand.
misverstand	misunderstanding
misvorm	vide mismaak.
miswurm	cutworm, caterpillar.
mite	myth.
mits	provided (that).
mobiel	mobile.
mobiliseer	mobilize.
modaal	modal.
modder	mud, ooze, sludge.
modderskerm	mud-guard.
moddervet	as plump as a partridge.
mode	fashion, style, vogue.
modegek	dandy, fop.
model	model, pattern; cut.
modemaakster	-maker, dressmaker.
modepop	doll, fine lady; vide modegek.
moderasie	moderation.
moderator	moderator.
moderniseer	modernize.
modieus	fashionable, stylish.
modiste	(up-to-date) dressmaker.
moed	courage, nerve, spirit.
moede	te -, at heart, in spirit.
moedeloos	dejected, despondent.
moeder	mother; dam (of animals).
moederlik	maternal, motherly.
moedernaak	-nakend, (-e), stark naked.
moedersielalleen	quite alone.
moederskant	van -, on the mother's side.
moedig	brave, courageious, plucky, moedswillig, (-e), n. & adv. petulant(ly), wan- ton(ly), wilful(ly).
moedverloor	despondency.
moeg	fatigued, tired, weary.
moeilik	a. & adv. difficult, hard.
moeilikheid	difficulty, scrape, trouble.
moeisaam	fatiguing, tiresome.
moeite	difficulty, trouble; labour, pains.
moeitevol	difficult, hard, toilsome, wearisome.
moenie!	don't!.
moer	mother, dam (of animals); dregs, grounds, lees, sediment (of liquids); nut (on bolt; seed-potato.
moeras	marsh, bog, swamp.
moerbei	mulberry.
moerhamer	(adjusting) spanner.
moersleutel	spanner, screw-wrench.
moesie	mole; beauty-spot.
moet	mark, dent, spoor.; must, have to, be compelled (forced, obliged) to; should, ought to.
mof	n. cross-breed.
mofskaap	merino-sheep, wool-sheep, Mohammed, Mohammed.
moftie	mitten.
Mohammedaan	Mohammedan.
moker	hammer, strike, hit; give a thrashing; smash (tennis).
mol	n. mole.
moles	trouble.
molesteer	annoy, molest.
mollig	chubby, plump, soft.
molwa	trolley, light waggon.
mombakkies	mask.
momenteel	a. & adv. momentary.
mompel	mumble, mutter.
monargaal	monarchic(a1).
monargie	monarchy.
mond	mouth; estuary (of a river), muzzle (of a gun).
mondeliks	a. & adv. oral(ly), verbal(ly).
mondering	equipment.
mondfluitjie	mouth-organ.
mondig	of (full) age, major.
monding	mouth, estuary.
mondvol	mouthful.
Mongolië	Mongolia.
Mongool	Mongol, Mongolian.
monnik	friar, monk.
monster	n. monster; freak.; muster (soldiers); (pass in) review, inspect.
monsters	n. sample, pattern.
monstervergadering	mass-meeting.
monteer	mount, set up, assemble, erect, fit up, adjust; get up, stage (a play), Montenegryn, (-e), Montenegrin.
monteur	assembler.
monteur-draaier	fitter and turner.
monument	monument.
mooi	a. & adv. beautiful, fine, handsome, nice, pretty.
mooibroodjies	- bak, curry favour.
mooidoenery	airs and graces, put on.
mooie	jy is 'n -, you are a fine one.
mooipraat	coax; beg; try to persuade.
moois	iets -, something fine.
mooitjies	finely, prettily.
mooiweer	met iemand se goal - speel, play ducks and drakes with a person's things.
moondheid	power.
moontlik	a. & adv. possible; possibly, perhaps.
moontlikheid	possibility
Moor	Moor; blackamoor.; commit murder, kill, murder; maltreat, overwork.
moord	murder.
moorddadig	murderous, cruel.; homicidal
moordenaar	murderer.
moordgierig	bloodthirsty.
moordkuil	van jou hart g'n - maak nie, speak one's mind freely.
moot	fillet, slice; valley, glen.
mopperig	disgrunted, grumbling.
mor	grumble.
Morawië	Moravia.
môre	morning, morrow, to-morrow.
môre-	sy - en sy aandpraatjies kom nie ooreen nie, you cannot rely on his word.
moreel	n. morale.; a. moral.
môrestond	die - het goud in die mond, the early bird catches the worm.
mors	mess, make a mess; spill (milk), waste (money).
morsaf	clean off, right through.
morsdood	stone-dead, stark-dead.
morsig	dirty, filthy, grimy.
mortier	mortar.
mos	n. moss.; n. must, grape-juice, new wine.; adv. indeed.
mosbeskuit	must-bun (-rusk).
mosbolletjie	vide mosbeskuit.
moses	rival; master, superior.
mosie	motion, vote.
moskee	mosque.
Moskou	Moscow.
mossel	mussel.
mossie	Cape sparrow.
mosterd	mustard.
mot	moth.
motel	motel.
motief	motive.
motiveer	account for, give reasons for, motivate.
motor	motor; engine.; motor-car, automobile.
motorkap	bonnet.
motreën	motreent, n. drizzle.
mou	sleeve.
mout	
moveer	attack, vex, bait.
mud	[-de(ns)], muid, bag.
muf	fusty, musty, stuffy.
muggie	gnat, midge.
muil	(1) mule; half-caste.; (2) muzzle, mouth.
muilband	gag, muzzle.
muis	mouse.
muishond	mongoose, weasel, polecat.
muisval	mouse-trap.
muisvoël	coly, mouse-bird.
muit	mutiny, rebel, revolt.
mummie	mummy.
munisipaliteit	municipality.
munt	n. coin; money; mint, head.; coin, mint.
muntstuk	coin, piece of money.
murasie	dilapidated wall(s), ruins.
murg	marrow.
murg-van-groente	vegetable-marrow, squash.
murmel	murmur; babble.
murmureer	grumble, murmur.
mus	cap, night-cap; bonnet; tea-cosy.
musiek	music.
musikaal	musical, musikant, (-e), musician, player.
musikus	musician.
muskadel	muscadel.
muskejaatkat	musk-cat, civet-cat.
muskeljaatkat	musk-cat, civet-cat.
muskiet	mosquito.
muur	walt.
muurkas	(built-in) cupboard.
muurtapyt	hangings, tapestry.
muwwerig	rather musty.
my	pron. pers. me.; pron. poss. my, mine.; avoid, fight shy of, shun.
mylpaal	mile-stone; landmark.
mymer	brood, muse, ponder, meditate, be lost in reverie (thought).
mymering	day-dreaming, reverie.
myn	mine, pit.
mynbou	mining(-industry).
myne	mine.
mynersyds	on my part.
myngas	(fire-)damp, methane.
myntering	miner's phthisis.
mynveer	mine-sweeper.
mynwerker	miner; mine-worker.
na	adv. near.; prep. after; on.; prep. to, in, according to; after; at; of.
na-aap	ape, mimic, imitate.
naaf	hub, nave; boss.
naai	sew, stitch.
naaimasjien	sewing-machine.
naaiwerk	sewing, needle-work.
naak	a. naked, nude, bare.; approach.
naald	needle (also of pine-tree, instrument, obelisk).
naaldekoker	needle-case; dragon-fly.
naaldwerk	needle-work, sewing.
naam	name.
naambord	name-plate, door-plate.
naamgenoot	namesake.
naamlik	namely, to wit, viz.
naamloos	(2) nameless, inexpressible.
naamval	case.
naamwoord	nomen; selfstandige -, noun.
naand	good evening!
naar	a. unpleasant; terrible; disagreeable; nasty; foul; miserable; giddy, faint.
naargeestig	dreary, gloomy.
naarheid	unpleasantness; giddiness.
naarstig	diligent, assiduous.
naas	beside; alongside of; next-door to.
naasaan	next to.
naasagter	the second from the rear.
naasbestaande	next of kin.
naaseergister	three days ago.
naasmekaar	alongside one another; abreast.
naasoormore	three days hence.
naaste	n. neighbour, fellow-man.; a. nearest; next.
naastenby	roughly, more or less.
naasvoor	the second from the front.
naat	seam; suture; weld.
naberig	postscript; epilogue.
nabestaande	vide naasbestaande.
nabetragting	reflection, meditation.
nably	stay behind, stay in.
naboots	imitate, copy; mimic.
naburig	neighbouring.
naby	a. near.; adv. near, close by (to),  near by.; prep. near, close to.
nabygeleë	near-by, neighbouring.
nabyheid	neighbourhood, vicinity.
nadat	after.
nadeel	disadvantage; drawback; detriment.
nadelig	disadvantageous, detrimental; injurious.
nademaal	whereas.
nadenkend	meditative, pensive.
nader	nearer; further.; approach, draw near.
naderby	nearer.
naderhand	later on, afterwards.
nadink	consider, reflect (upon).
nadoen	imitate, mimic, copy.
nadors	after-thirst.
nadraai	sequel, after-effects, upshot.
nadruk	n. emphasis, stress.
nadruklik	emphatic(ally).
nael	n. nail; claw; rivet.; (1) nail.; (2) sprint, race, tear, fly.
naelloper	sprinter.
naelskraap	dit het - gegaan, it was a close shave (a near thing).
naeltjie	little nail; hyacinth; -s, cloves.
nag	night.
nagaan	follow; trace; investigate; check.
nagaap	-apie, bush-baby, moholi lemur.
nageboorte	postnatal
nagedagtenis	memory, commemoration.
nagemaak	imitation (-leather); counterfeit, artificial, spurious.
nagenoeg	nearly, almost, more or less.
nagereg	dessert.
nageslag	posterity.
Nagmaal	Holy Communion.
nagmerrie	nightmare; bugbear.
nagploeg	night-shift.
nagsê	say good-night.
nagtegaal	(-gale); nightingale.
nagtelik	nightly, nocturnal.
naguil	night-jar.
nagvoël	night-bird.
nahou	keep in.
naïef	naive (naive), artless.
najaag	-jae, (nage-), run after, chase; seek (hunt) after.
najaar	autumn.
nakend	naked, bare.
nakom	fulfil, keep; obey; do, perform; comply with.
nakomeling	descendant.
nakoming	fulfilment, performance.
nakyk	look at, watch; check, look over; look up, overhaul.
nalaat	leave behind; neglect; stop, leave off; leave; bequeath; omit.; neglect; leave behind; omit; refrain; fail
nalatenskap	estate; heritage, inheritance.
nalatig	negligent, careless.
naleef	live up to; observe; comply with.
nalees	read over; read up.
naloop	run after, follow.
namaak	copy, imitate; forge; counterfeit.
namaaksel	imitation, counterfeit.
Namakwa	Namaqua.
namate	as, in proportion to.
namens	on behalf of, for.
namiddag	afternoon.
nanag	after midnight.
naoes	after-crop.
Napels	Napels.
Napo1itaans	Neapolitan.
napraat	mimic; repeat words; echo, imitate the words (opinions) of.
nar	buffoon, jester, fool.
narig	a. wretched, miserable.
narkose	narcosis, anaesthesia.
narsing	narcissus.
nartjie	naartjie, mandarin (-orange).
nasaat	descendant.
Nasarener	Nazarene.
Nasaret	Nazareth.
nasê	say after, repeat.
nasie	nation.
nasien	look over, read through, correct, audit, overhau1, inspect.
nasionaal	national.
nasionalis	nationalist.
nasit	chase, pursue, run after.
naskrif	postscript.
naslaan	consult, look (turn) up.
nasleep	n. train, aftermath, sequel, after-effects.
nasmaak	after-taste.
naspeur	trace, investigate.
naspoor	vide aaspeur.
nastaar	stare after.
nastreef	strive aAer, pursue; emulate.; pursue
nat	n. wet, damp.; a. wet; moist, damp; tight, tipsy.
natmaak	wet, water.
natreën	be (get) caught in the rain.
natrium	sodium.
naturaliseer	naturalize.
natuur	nature; disposition; (natural) scenery.
natuurkunde	physics.
natuurlik	a. natural; native.; adv. naturally.
natuurskoon	natural beauty, scenery.
navertel	repeat.
naverwant	closely related.
navolg	follow; pursue; imitate.
navolgenswaardig	worth following.
navorsing	investigation; research.
navra	inquire.
navraag	inquiry; demand.
naweek	week-end.
nawel	navel.
naywer	jealousy, envy.
nè?	isn't it (he, she)?, not so?; yes?.
nederig	humble, modest, lowly.
nederlaag	vide neerlaag.
nedersetter	settler.
nedersetting	settlement.
nee	no.
neef	nephew; cousin.
neem	take; book; engage; have.
neën-	vide negen-.
neer	down; op en -, up and down.
neerbuig	bend down.
neerdaal	come down, descend.
neerdrukkend	depressing.
neergeslaan	sad, heavy, doughy.
neerhaal	haul down; fetch down; pull down; lower.
neerhurk	squat (dovm).
neerkom	come down, descend, crash down; land.
neerkyk	look down.
neerlaag	defeat, overthrow, reverse.
